Category Name	Item Name	UoM																					
BISCUITS	UNUIBIC FRUIT & NUT MRP 50	NOS																					
BISCUITS	YARL BISCUITS RS.40	NOS																					
BISCUITS	ZPARLE 20-20 RS 20	NOS																					
BREAD	ASSORTED BREADS	NOS																					
BREAD	BREAD FRY	NOS																					
BREAD	BREAD OMELETE	NOS																					
BREAD	BREAD ROAST MRP 20	NOS																					
BREAD	BREAD SLICE	NOS																					
BREAD	BROWN BREAD 400 GM	NOS																					
BREAD	BUTTER BRED 400 GM	NOS																					
BREAD	CALZONE	NOS																					
BREAD	CHEESE SANWICH	NOS																					
BREAD	DILKHUSH PIECE	NOS																					
BREAD	DILKHUSH WHOLE	NOS																					
BREAD	WHEAT PARATHA	NOS																					
BREAD	WHITE BREAD 400 GM	NOS																					
BREAKFAST	APPAM	NOS																					
BREAKFAST	BHAJI CURRY	NOS																					
BREAKFAST	BREAD OMLETTTE	NOS																					
BREAKFAST	CEREAL WITH MILK	NOS																					
BREAKFAST	CHAMBA PUTTU	NOS																					
BREAKFAST	DOSA	NOS																					
BREAKFAST	GHEE ROAST	NOS																					
BREAKFAST	IDIYAPPAM	NOS																					
BREAKFAST	IDLY 1 NO	NOS																					
BREAKFAST	KALLAPPAM	NOS																					
BREAKFAST	MASALA DOSA	NOS																					
BREAKFAST	PLAIN DOSA	NOS																					
BREAKFAST	POORI 1 NO	NOS																					
BREAKFAST	POORI BHAJI	NOS																					
BREAKFAST	PURI	NOS																					
BREAKFAST	PUTTU	NOS																					
BREAKFAST	RICE DOSA Nos	NOS																					
BREAKFAST	TOAST BUTTER JAM	NOS																					
BREAKFAST	UPMA	NOS																					
BREAKFAST	WHEAT DOSA	NOS																					
BREAKFAST	Z IDIYAPPAM 1 NO	NOS																					
BREAKFAST	ZAPPAM	NOS																					
BREAKFAST	ZIDLY SET	NOS																					
BREAKFAST	ZKALLAPPAM	NOS																					
BUN	BUN PACKET	NOS																					
BUN	CREAM BUN BALL	NOS																					
BUN	CREAM BUN ROLL	NOS																					
BUN	SMALL BUN MRP 10	NOS																					
BUN	STAFF CREAM BUN	NOS																					
CAKE	ALPHONSA PLUM CAKE	NOS																					
CAKE	ALPONSA CARROT CAKE	NOS																					
CAKE	APPLE CAKE @45	NOS																					
CAKE	BANANA CAKE SLICE 20	NOS																					
CAKE	BELGIUM CAKE 800 GM	NOS																					
CAKE	BIRTHDAY CAKE 800GM	NOS																					
CAKE	BLACK FOREST RS 750	NOS																					
CAKE	BREAD FAMILY PACK 500 GM	NOS																					
CAKE	BUTTER SCOTCH CAKE 800 GM	NOS																					
CAKE	CAKE WHITE FOREST	NOS																					
CAKE	CARROT CAKE 20	NOS																					
CAKE	CARROT CAKE 800 GM	NOS																					
CAKE	CREAM OF COCONUT JAMROLL@25	NOS																					
CAKE	DAIRY HOME ASSORTMENTS 175 GM	NOS																					
CAKE	DATES & CARROT CAKE 800GM	NOS																					
CAKE	DUCKER CAKE	NOS																					
CAKE	FRUIT & NUT CAKE RS 20	NOS																					
CAKE	GHEE CAKE 800GM	NOS																					
CAKE	JAM ROLL	NOS																					
CAKE	KIWI CAKE 800 GM	NOS																					
CAKE	MANGO CAKE 800 MG	NOS																					
CAKE	MARBLE CAKE 800GM	NOS																					
CAKE	MARBLE CAKE PIECE	NOS																					
CAKE	MILANO CHOCO & HAZELUNT 60 GM	NOS																					
CAKE	MILANO MIXED BERRIED 75 GM	NOS																					
CAKE	MUFFIN @15	NOS																					
CAKE	PINEAPPLE CAKE 1 KG	NOS																					
CAKE	PINEAPPLE CAKE 800 GMS	NOS																					
CAKE	PINEAPPLE SLICE CAKE	NOS																					
CAKE	PLUM CAKE 1 KG	NOS																					
CAKE	PLUM SLICE CAKE	NOS																					
CAKE	PLUM SLICE CAKE @ 25	NOS																					
CAKE	STRAWBERRY CAKE 800GM	NOS																					
CAKE	SUPREME CAKE EUROPEAN DELIGHT RS 180	NOS																					
CAKE	SUPREME CAKE PLUM SUPREME RS 155	NOS																					
CAKE	SUPREME CHERRY BERRY PLUM CAKE 650 GM	NOS																					
CAKE	SUPREME GIFT IT 1 KG	NOS																					
CAKE	SUPREME LINGS CAKE 350 GM	NOS																					
CAKE	SUPREME PLUM 350 GM	NOS																					
CAKE	SUPREME RICH MILK 250GM	NOS																					
CAKE	SUPREME SWISS CHOCOLATE 250GM	NOS																					
CAKE	SUPREME YUMMY BLACK CURRENT RS	NOS																					
CAKE	SUPREME YUMMY ORANGE RS 99	NOS																					
CAKE	TEA CAKE 800 GM	NOS																					
CAKE	VANILA VANCHO CAKE 800 GM	NOS																					
CAKE	YUMMY YUM - 175 GM RS 95	NOS																					
CAKES	CARROT CAKE@20	NOS																					
CAKES	CHOCOLATE BROWNEY@45	NOS																					
CAKES	DAITES AND CARROT@30	NOS																					
CAKES	DATES & CARROT SLICE CAKE	NOS																					
CAKES	GHEE CAKE @20	NOS																					
CAKES	IRIS CAKE@30	NOS																					
CAKES	LINZER CAKES SLICE 30	NOS																					
CAKES	ORNAGE SLICE CAKE	NOS																					
CAKES	PINAPLE CAKE 500GM	NOS																					
CAKES	PLUM CAKE 400GM	NOS																					
CAKES	SUPREME CAKE CHERRY BERRY RS 145	NOS																					
CAKES	SUPREME CAKE FRUIT & NUT RS 155	NOS																					
CAKES	SUPREME CAKE RICH MILK RS 155	NOS																					
CAKES	VANILA SLICE CAKE	NOS																					
CANDY	BLACK SESAME CANDY RS65	NOS																					
CANDY	CANDY (DIFFERENT FLAVOUR)	NOS																					
CANDY	CANDY PEANUT RS 5	NOS																					
CANDY	DELINUT GOLDEN BROWN	NOS																					
CANDY	DELINUTS SIMPLY SALTY	NOS																					
CANDY	ELADHI MRP 1	NOS																					
CANDY	MIXTURE CANDY RS 65	NOS																					
CANDY	PEANUT CANDY 120 GM	NOS																					
CANDY	PEANUT CANDY 80GM	NOS																					
CANDY	PEANUT CANDY RS 55	NOS																					
CANDY	PEANUT CANDY RS 65	NOS																					
CANDY	POLO JAR MRP 2	NOS																					
CANDY	SESAME BALL RS 45	NOS																					
CANDY	SUNFEAST MARIELIGHT MRP 20	NOS																					
CANDY	WHITE SESAME CANDY RS 65	NOS																					
CASHEW NUTS	CASHEW NUT 200GM	NOS																					
CASHEW NUTS	CASHEW NUT 250	NOS																					
CASHEW NUTS	CASHEW NUTS PEPPER	NOS																					
CASHEW NUTS	DELENUT CASHEW RS 145	NOS																					
CASHEW NUTS	DELINUT CASHEW PLAIN RS. 799	NOS																					
CASHEW NUTS	DELINUT CASHEW ROASTED RS 860	NOS																					
CASHEW NUTS	PISTA 250GM	NOS																					
CHICKEN	CHICKEN KUMARAKAM	NOS																					
CHICKEN	ACHAYAN KOZHI CURRY@155	NOS																					
CHICKEN	AMMACHI KOZHI CURRY@160	NOS																					
CHICKEN	AMMACHI KOZHI ROAST@165	NOS																					
CHICKEN	ANDRA CHICKEN	NOS																					
CHICKEN	BUTTER CHICKEN	NOS																					
CHICKEN	BUTTER CHICKEN MASALA	NOS																					
CHICKEN	CAESAR SALAD WITH GRILLED CHICKEN	NOS																					
CHICKEN	CARRIBEAN CHICKEN	NOS																					
CHICKEN	CHCIKEN MALABARI	NOS																					
CHICKEN	CHICKEN 65	NOS																					
CHICKEN	CHICKEN CHETTINADU	NOS																					
CHICKEN	CHICKEN CHUKA	NOS																					
CHICKEN	CHICKEN CURRY	NOS																					
CHICKEN	CHICKEN CURRY-HALF	NOS																					
CHICKEN	CHICKEN FRY	NOS																					
CHICKEN	CHICKEN GAI TOD	NOS																					
CHICKEN	CHICKEN KONDATTOM	NOS																					
CHICKEN	CHICKEN MALLI PERALAN	NOS																					
CHICKEN	CHICKEN MANCHURIAN	NOS																					
CHICKEN	CHICKEN MAPPAS	NOS																					
CHICKEN	CHICKEN MEZHAKKUPERUTTI	NOS																					
CHICKEN	CHICKEN PERATTU	NOS																					
CHICKEN	CHICKEN POLLICHATHU	NOS																					
CHICKEN	CHICKEN PURATTU	NOS																					
CHICKEN	CHICKEN ROAST	NOS																					
CHICKEN	CHICKEN ROLL	NOS																					
CHICKEN	CHICKEN SATAE	NOS																					
CHICKEN	CHICKEN SPRING ROLL	NOS																					
CHICKEN	CHICKEN STEW	NOS																					
CHICKEN	CHICKEN TIKKA	NOS																					
CHICKEN	CHICKEN TIKKA MASALA	NOS																					
CHICKEN	CHICKEN TRAVANKOR	NOS																					
CHICKEN	CHICKEN VARATHARACHATHU	NOS																					
CHICKEN	CHICKEN WINGLETS	NOS																					
CHICKEN	CHILLY CHICKEN	NOS																					
CHICKEN	CHILLY CHICKEN-HALF	NOS																					
CHICKEN	CRUMB FRIED CHICKEN	NOS																					
CHICKEN	GRILLED CHICKEN	NOS																					
CHICKEN	GRILLED CHICKEN BLD	NOS																					
CHICKEN	HYDERABADI CHICKEN	NOS																					
CHICKEN	KADAI CHICKEN	NOS																					
CHICKEN	KOZHI KURUMULAK	NOS																					
CHICKEN	MASALA CHICKEN	NOS																					
CHICKEN	PEPPER CHICKEN	NOS																					
CHICKEN	PEPPER CHICKEN DRY	NOS																					
CHICKEN	PEPPER CHICKEN MASALA	NOS																					
CHICKEN	SCHEWAN CHICKEN	NOS																					
CHICKEN	ZZKERALA CHILLY CHICKEN.	NOS																					
CHOCOLATES	BAR ONE MRP 10	NOS																					
CHOCOLATES	BAR ONE NESTLE RS 20	NOS																					
CHOCOLATES	BAR ONE NESTLE RS 5	NOS																					
CHOCOLATES	BOUNTY	NOS																					
CHOCOLATES	BOUNTY MRP 25	NOS																					
CHOCOLATES	BOUNTY RS 30	NOS																					
CHOCOLATES	BOUNTY RS 60	NOS																					
CHOCOLATES	BOUNTY RS 70	NOS																					
CHOCOLATES	BOUNTY RS 99	NOS																					
